Job#,Admitted_time,Scheduled_time,JCT,Running_time,fairness(Mm),fairness(1/n),fairness(1/n-down),fairness(GPU_load),fairness(GPU_share),locality(dist),locality(bit),yield_count,n_avg,promote_count,model,gpu_req,rank_irt,ideal_run_time
Job64,15555000,15555000,3428670,3428670,1,0.568163,1,0.572944,1,1,1,0,20.6993,0,ResNeXt,1,63,3428670
Job65,15557000,15557000,3846646,3846646,1,0.560363,1,0.566294,1,1,1,0,20.4152,0,BERTLARGE,1,71,3846646
Job66,15557000,15557000,2670029,2670029,1,0.583475,1,0.610142,1,1,1,0,21.7354,0,GNMT,1,45,2670029
Job67,15557000,15557000,2104446,2104446,1,0.579555,1,0.607735,1,1,1,0,22.3752,0,VGG19,1,26,2104446
Job68,15586000,15606000,1363296,1343296,0.785037,0.597798,0.48562,0.655264,1.32429,0.5,0,0,22.8054,0,GNMT,4,14,1343296
Job69,15795000,15815000,4406889,4386889,1.00456,0.544201,1.00456,0.547923,0.995462,1,1,0,19.7366,0,ResNet50,1,77,4386889
Job70,15795000,15815000,3306834,3286834,1.00608,0.571248,1.00608,0.575806,0.993952,1,1,0,20.6476,0,GPT2_SMALL,1,59,3286834
Job71,15796000,15815000,2374400,2355400,1.00807,0.587486,1.00807,0.613024,0.991998,1,1,0,21.9962,0,VGG19,1,37,2355400
Job72,15796000,15815000,2033894,2014894,1.00943,0.574443,1.00943,0.586351,0.990658,1,1,0,22.5919,0,BERTLARGE,1,25,2014894
Job73,16670000,16670000,3392078,3392078,1,0.544988,1,0.54903,1,1,1,0,18.933,0,GPT2_SMALL,1,61,3392078
Job74,16763000,16763000,1111873,1111873,1,0.588274,1,0.605905,1,1,1,0,21.8735,0,ResNet50,1,6,1111873
Job75,17119000,17139000,2703637,2683637,0.504474,0.561855,0.286764,0.58622,2.06196,1,1,0,18.5778,0,GNMT,8,46,2683637
Job76,17424000,17424000,2908784,2908784,1,0.542325,1,0.563331,1,1,1,0,17.8442,0,GNMT,1,52,2908784
Job77,17655000,17655000,5820148,5820148,1,0.489284,1,0.497651,1,1,1,0,16.4403,0,GNMT,1,92,5820148
Job78,18284000,19822637,10723174,5397280,1.47156,1.22147,0.977912,1.24995,0.750546,0.983693,0.951079,2,11.3257,0,GNMT,8,81,4952618
Job79,18684000,18684000,5399647,5399647,1,0.470757,1,0.479111,1,0.5,0,0,16.0622,0,GNMT,2,89,5399647
Job80,18722000,18742000,2909816,2889816,1.00692,0.486545,1.00692,0.491476,0.993127,1,1,0,16.5244,0,ResNeXt,2,49,2889816
Job81,18756000,18756000,2147728,2147728,1,0.481516,1,0.486412,1,1,1,0,16.8067,0,GPT2_SMALL,2,28,2147728
Job82,19066000,19066000,2301598,2301598,1,0.472061,1,0.476539,1,1,1,0,16.4297,0,GPT2_SMALL,1,34,2301598
Job83,19206000,28650285,16847782,7403497,1.47883,1.56499,0.846633,1.58412,0.683439,0.666667,0,0,6.82504,0,ResNet50,16,100,7371619
Job84,19368000,19388000,2920698,2900698,1.00689,0.478703,1.00689,0.483057,0.993152,1,1,0,15.6604,0,ResNet50,1,51,2900698
Job85,19550000,19550000,2503216,2503216,1,0.482508,1,0.489107,1,1,1,0,15.6206,0,ResNet50,2,40,2503216
Job86,19960000,19980000,1277960,1257960,0.465812,0.478814,0.331963,0.493061,2.22796,0.4,0,0,16.0119,0,BERTLARGE,8,12,1255175
Job87,20423000,20423000,4150430,4051079,0.998466,0.536002,0.773665,0.5534,1.09904,0.397723,0,1,14.7352,0,VGG19,4,68,3718929
Job88,20619000,20639000,1131064,1111064,0.91954,0.529208,0.693232,0.583842,1.11059,1,1,0,15.7133,0,GNMT,4,5,1111064
Job89,20717000,20717000,3442727,3442727,1,0.465782,1,0.478736,1,1,1,0,15.4934,0,GNMT,1,64,3442727
Job90,20984000,20984000,3079226,3079226,1,0.464021,1,0.476101,1,1,1,0,15.5345,0,VGG19,1,58,3079226
Job91,21482000,21502000,1526351,1506351,0.619739,0.572713,0.440352,0.635458,2.01905,0.666667,0,0,14.8949,0,VGG19,8,13,1338371
Job92,21760000,21760000,2181649,2181649,1,0.4436,1,0.448617,1,1,1,0,15.6859,0,ResNet50,1,29,2181649
Job93,21969000,21969000,1086040,1086040,1,0.439213,1,0.452368,1,1,1,0,15.3438,0,BERTLARGE,1,3,1086040
Job94,22014000,22034000,1066345,1046345,0.246427,0.441437,0.173305,0.450396,4.24267,0.8,0,0,15.4214,0,GPT2_SMALL,16,1,1037739
Job95,22611000,22611000,5521213,5323868,0.990252,0.618323,1.04895,0.623289,1.02219,0.5,0,1,8.89487,0,BERTLARGE,4,85,5263579
Job96,22863000,22883000,1114470,1094470,0.770514,0.448381,0.619299,0.461593,1.31151,0.5,0,0,16.7843,0,BERTLARGE,4,4,1100931
Job97,22889000,22909000,1186829,1166829,0.8251,0.505593,0.680858,0.56409,1.29728,0.5,0,0,16.5601,0,VGG19,4,8,1149045
Job98,22897000,23008351,1241233,1129882,0.857457,0.490413,0.688373,0.499497,1.18208,0.5,0,0,16.2801,0,GPT2_SMALL,4,7,1125328
Job99,22952000,22952000,2256510,2256510,1,0.520008,1,0.526113,1,1,1,0,12.039,0,ResNeXt,1,31,2256510
Job100,22971000,23080345,1162375,1053030,0.45968,0.515053,0.368419,0.542202,2.32803,1,1,0,16.1805,0,ResNeXt,8,2,1053030
